,DATETIME,DATE,TIME,PEAK_OFFPEAK,HOKKAIDO,TOHOKU,TOKYO,CHUBU,HOKURIKU,KANSAI,CHUGOKU,SHIKOKU,KYUSHU,AMOUNT_OF_BIDS_SOLD_(KWH),AMOUNT_OF_BIDS_PURCHASED_(KWH),TOTAL_CONTRACTED_QUANTITY_(KWH)
4371,2023-04-02 01:30:00,2023-04-02,01:30:00,offpeak,11.62,11.62,11.62,10.71,10.71,10.71,10.71,10.71,10.71,20477600.0,15301200.0,12635450.0
4372,2023-04-02 02:00:00,2023-04-02,02:00:00,offpeak,11.83,11.83,11.83,10.68,10.68,10.68,10.68,10.68,10.68,20803350.0,15273850.0,12617800.0
4373,2023-04-02 02:30:00,2023-04-02,02:30:00,offpeak,12.13,12.13,12.13,10.83,10.83,10.83,10.83,10.83,10.83,21095850.0,15321100.0,12605100.0
4374,2023-04-02 03:00:00,2023-04-02,03:00:00,offpeak,13.52,13.52,13.52,10.64,10.64,10.64,10.64,10.64,10.64,21459550.0,15478750.0,12707150.0
4375,2023-04-02 03:30:00,2023-04-02,03:30:00,offpeak,14.06,14.06,14.06,10.64,10.64,10.64,10.64,10.64,10.64,21618950.0,15727300.0,12880750.0
4376,2023-04-02 04:00:00,2023-04-02,04:00:00,offpeak,14.22,14.22,14.22,10.81,10.81,10.81,10.81,10.81,10.81,21368750.0,15420900.0,12621700.0
4377,2023-04-02 04:30:00,2023-04-02,04:30:00,offpeak,14.23,14.23,14.23,10.81,10.81,10.81,10.81,10.81,10.81,21089450.0,15182650.0,12305550.0
4378,2023-04-02 05:00:00,2023-04-02,05:00:00,offpeak,14.24,14.24,14.24,12.5,12.5,12.5,12.5,12.5,12.5,21001700.0,14138150.0,11927850.0
4379,2023-04-02 05:30:00,2023-04-02,05:30:00,offpeak,14.31,14.31,14.31,10.94,10.94,10.94,10.94,10.94,10.94,20900500.0,13885900.0,11649500.0
4380,2023-04-02 06:00:00,2023-04-02,06:00:00,offpeak,14.23,14.23,14.23,11.95,11.95,11.95,11.95,11.95,11.95,20573300.0,12261450.0,10541650.0
4381,2023-04-02 06:30:00,2023-04-02,06:30:00,offpeak,10.35,10.35,10.35,8.82,8.82,8.82,8.82,8.82,8.82,22477850.0,11859000.0,10790650.0
4382,2023-04-02 07:00:00,2023-04-02,07:00:00,offpeak,10.0,10.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,24835650.0,11305500.0,10795800.0
4383,2023-04-02 07:30:00,2023-04-02,07:30:00,offpeak,6.0,6.0,6.0,0.01,0.01,0.01,0.01,0.01,0.01,27259400.0,10961950.0,10669000.0
4384,2023-04-02 08:00:00,2023-04-02,08:00:00,offpeak,4.65,4.65,4.65,0.01,0.01,0.01,0.01,0.01,0.01,28821600.0,10941500.0,10763200.0
4385,2023-04-02 08:30:00,2023-04-02,08:30:00,offpeak,1.0,1.0,1.0,0.01,0.01,0.01,0.01,0.01,0.01,29918850.0,10408250.0,10357650.0
4386,2023-04-02 09:00:00,2023-04-02,09:00:00,offpeak,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,31888000.0,10603700.0,10603700.0
4387,2023-04-02 09:30:00,2023-04-02,09:30:00,offpeak,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,33391800.0,10509050.0,10509050.0
4388,2023-04-02 10:00:00,2023-04-02,10:00:00,offpeak,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,34651600.0,10377400.0,10377400.0
4389,2023-04-02 10:30:00,2023-04-02,10:30:00,offpeak,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,35520200.0,10340300.0,10340300.0
4390,2023-04-02 11:00:00,2023-04-02,11:00:00,offpeak,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,36101050.0,10026700.0,10026700.0
4391,2023-04-02 11:30:00,2023-04-02,11:30:00,offpeak,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,36351200.0,9832250.0,9832250.0
4392,2023-04-02 12:00:00,2023-04-02,12:00:00,offpeak,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,36506900.0,9877400.0,9877400.0
4393,2023-04-02 12:30:00,2023-04-02,12:30:00,offpeak,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,36409000.0,10101450.0,10101450.0
4394,2023-04-02 13:00:00,2023-04-02,13:00:00,offpeak,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,36333250.0,10360150.0,10360150.0
4395,2023-04-02 13:30:00,2023-04-02,13:30:00,offpeak,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,35781300.0,10089950.0,10089950.0
4396,2023-04-02 14:00:00,2023-04-02,14:00:00,offpeak,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,34553100.0,9802000.0,9802000.0
4397,2023-04-02 14:30:00,2023-04-02,14:30:00,offpeak,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,33031250.0,9835250.0,9835250.0
4398,2023-04-02 15:00:00,2023-04-02,15:00:00,offpeak,1.0,1.0,1.0,0.01,0.01,0.01,0.01,0.01,0.01,31727900.0,10583550.0,10527900.0
4399,2023-04-02 15:30:00,2023-04-02,15:30:00,offpeak,5.0,5.0,5.0,0.01,0.01,0.01,0.01,0.01,0.01,29836900.0,10474500.0,10291900.0
4400,2023-04-02 16:00:00,2023-04-02,16:00:00,offpeak,10.0,10.0,10.0,0.01,0.01,0.01,0.01,0.01,0.01,27221800.0,11076400.0,10631850.0
4401,2023-04-02 16:30:00,2023-04-02,16:30:00,offpeak,10.03,10.03,10.03,6.28,0.01,0.01,0.01,0.01,0.01,24826800.0,11201350.0,10573800.0
4402,2023-04-02 17:00:00,2023-04-02,17:00:00,offpeak,14.23,14.23,14.23,14.0,3.0,3.0,3.0,3.0,0.01,23400550.0,12123050.0,11239750.0
4403,2023-04-02 17:30:00,2023-04-02,17:30:00,offpeak,14.24,14.24,14.24,14.24,8.98,8.98,8.98,8.98,6.0,21902050.0,12761050.0,11431600.0
4404,2023-04-02 18:00:00,2023-04-02,18:00:00,offpeak,14.24,14.24,14.24,14.24,9.68,9.68,9.68,9.68,9.68,22338350.0,14288850.0,12443950.0
4405,2023-04-02 18:30:00,2023-04-02,18:30:00,offpeak,14.24,14.24,14.24,14.24,9.99,9.99,9.99,9.99,9.99,22245900.0,14802050.0,12818450.0
4406,2023-04-02 19:00:00,2023-04-02,19:00:00,offpeak,14.22,14.22,14.22,14.22,9.62,9.62,9.62,9.62,9.62,22575500.0,15735200.0,13070300.0
4407,2023-04-02 19:30:00,2023-04-02,19:30:00,offpeak,14.22,14.22,14.22,14.22,9.54,9.54,9.54,9.54,9.54,22793200.0,15906850.0,13311850.0
4408,2023-04-02 20:00:00,2023-04-02,20:00:00,offpeak,14.0,14.0,14.0,14.0,9.54,9.54,9.54,9.54,9.54,22854750.0,15995550.0,13330100.0
