DATE,DAY_OF_THE_WEEK,TTS,TTB,TTM
2022-04-21 00:00:00,Thursday,129.28,127.28,128.28
2022-04-22 00:00:00,Friday,129.65,127.65,128.65
2022-04-23 00:00:00,Saturday,,,
2022-04-24 00:00:00,Sunday,,,
2022-04-25 00:00:00,Monday,129.81,127.81,128.81
2022-04-26 00:00:00,Thuesday,128.6,126.6,127.6
2022-04-27 00:00:00,Wednesday,128.66,126.66,127.66
2022-04-28 00:00:00,Thursday,129.86,127.86,128.86
2022-04-29 00:00:00,Friday,,,
2022-04-30 00:00:00,Saturday,,,
2022-05-01 00:00:00,Sunday,,,
2022-05-02 00:00:00,Monday,131.1,129.1,130.1
2022-05-03 00:00:00,Thuesday,,,
2022-05-04 00:00:00,Wednesday,,,
2022-05-05 00:00:00,Thursday,,,
2022-05-06 00:00:00,Friday,131.52,129.52,130.52
2022-05-07 00:00:00,Saturday,,,
2022-05-08 00:00:00,Sunday,,,
2022-05-09 00:00:00,Monday,131.78,129.78,130.78
2022-05-10 00:00:00,Thuesday,131.03,129.03,130.03
2022-05-11 00:00:00,Wednesday,131.32,129.32,130.32
2022-05-12 00:00:00,Thursday,130.77,128.77,129.77
2022-05-13 00:00:00,Friday,129.9,127.9,128.9
2022-05-14 00:00:00,Saturday,,,
2022-05-15 00:00:00,Sunday,,,
2022-05-16 00:00:00,Monday,130.65,128.65,129.65
2022-05-17 00:00:00,Thuesday,130.29,128.29,129.29
2022-05-18 00:00:00,Wednesday,130.33,128.33,129.33
2022-05-19 00:00:00,Thursday,129.43,127.43,128.43
2022-05-20 00:00:00,Friday,128.85,126.85,127.85
2022-05-21 00:00:00,Saturday,,,
2022-05-22 00:00:00,Sunday,,,
2022-05-23 00:00:00,Monday,128.78,126.78,127.78
2022-05-24 00:00:00,Thuesday,128.87,126.87,127.87
2022-05-25 00:00:00,Wednesday,127.98,125.98,126.98
2022-05-26 00:00:00,Thursday,128.51,126.51,127.51
2022-05-27 00:00:00,Friday,128.03,126.03,127.03
2022-05-28 00:00:00,Saturday,,,
2022-05-29 00:00:00,Sunday,,,
2022-05-30 00:00:00,Monday,128.02,126.02,127.02
2022-05-31 00:00:00,Thuesday,129.21,127.21,128.21
2022-06-01 00:00:00,Wednesday,129.93,127.93,128.93
2022-06-02 00:00:00,Thursday,131.06,129.06,130.06
2022-06-03 00:00:00,Friday,130.83,128.83,129.83
2022-06-04 00:00:00,Saturday,,,
2022-06-05 00:00:00,Sunday,,,
2022-06-06 00:00:00,Monday,131.84,129.84,130.84
2022-06-07 00:00:00,Thuesday,133.24,131.24,132.24
2022-06-08 00:00:00,Wednesday,133.81,131.81,132.81
2022-06-09 00:00:00,Thursday,135.46,133.46,134.46
2022-06-10 00:00:00,Friday,135.22,133.22,134.22
2022-06-11 00:00:00,Saturday,,,
2022-06-12 00:00:00,Sunday,,,
2022-06-13 00:00:00,Monday,136.0,134.0,135.0
2022-06-14 00:00:00,Thuesday,135.13,133.13,134.13
2022-06-15 00:00:00,Wednesday,136.01,134.01,135.01
2022-06-16 00:00:00,Thursday,135.31,133.31,134.31
2022-06-17 00:00:00,Friday,134.23,132.23,133.23
2022-06-18 00:00:00,Saturday,,,
2022-06-19 00:00:00,Sunday,,,
2022-06-20 00:00:00,Monday,136.25,134.25,135.25
2022-06-21 00:00:00,Thuesday,136.21,134.21,135.21
2022-06-22 00:00:00,Wednesday,137.49,135.49,136.49
2022-06-23 00:00:00,Thursday,137.2,135.2,136.2
2022-06-24 00:00:00,Friday,136.22,134.22,135.22
2022-06-25 00:00:00,Saturday,,,
2022-06-26 00:00:00,Sunday,,,
2022-06-27 00:00:00,Monday,135.61,133.61,134.61
2022-06-28 00:00:00,Thuesday,136.48,134.48,135.48
2022-06-29 00:00:00,Wednesday,137.14,135.14,136.14
2022-06-30 00:00:00,Thursday,137.68,135.68,136.68
2022-07-01 00:00:00,Friday,136.99,134.99,135.99
2022-07-02 00:00:00,Saturday,,,
2022-07-03 00:00:00,Sunday,,,
2022-07-04 00:00:00,Monday,135.98,133.98,134.98
2022-07-05 00:00:00,Thuesday,137.14,135.14,136.14
2022-07-06 00:00:00,Wednesday,136.69,134.69,135.69
2022-07-07 00:00:00,Thursday,136.88,134.88,135.88
2022-07-08 00:00:00,Friday,137.06,135.06,136.06
2022-07-09 00:00:00,Saturday,,,
2022-07-10 00:00:00,Sunday,,,
2022-07-11 00:00:00,Monday,137.47,135.47,136.47
2022-07-12 00:00:00,Thuesday,138.24,136.24,137.24
2022-07-13 00:00:00,Wednesday,138.02,136.02,137.02
2022-07-14 00:00:00,Thursday,139.0,137.0,138.0
2022-07-15 00:00:00,Friday,139.94,137.94,138.94
2022-07-16 00:00:00,Saturday,,,
2022-07-17 00:00:00,Sunday,,,
2022-07-18 00:00:00,Monday,,,
2022-07-19 00:00:00,Thuesday,139.25,137.25,138.25
2022-07-20 00:00:00,Wednesday,139.17,137.17,138.17
2022-07-21 00:00:00,Thursday,139.51,137.51,138.51
2022-07-22 00:00:00,Friday,138.34,136.34,137.34
2022-07-23 00:00:00,Saturday,,,
2022-07-24 00:00:00,Sunday,,,
2022-07-25 00:00:00,Monday,137.63,135.63,136.63
2022-07-26 00:00:00,Thuesday,137.47,135.47,136.47
2022-07-27 00:00:00,Wednesday,138.01,136.01,137.01
2022-07-28 00:00:00,Thursday,137.3,135.3,136.3
2022-07-29 00:00:00,Friday,135.61,133.61,134.61
2022-07-30 00:00:00,Saturday,,,
2022-07-31 00:00:00,Sunday,,,
2022-08-01 00:00:00,Monday,133.91,131.91,132.91
2022-08-02 00:00:00,Thuesday,131.88,129.88,130.88
2022-08-03 00:00:00,Wednesday,134.74,132.74,133.74
2022-08-04 00:00:00,Thursday,134.66,132.66,133.66
2022-08-05 00:00:00,Friday,134.02,132.02,133.02
2022-08-06 00:00:00,Saturday,,,
2022-08-07 00:00:00,Sunday,,,
2022-08-08 00:00:00,Monday,136.34,134.34,135.34
2022-08-09 00:00:00,Thuesday,135.89,133.89,134.89
2022-08-10 00:00:00,Wednesday,136.25,134.25,135.25
2022-08-11 00:00:00,Thursday,,,
2022-08-12 00:00:00,Friday,134.29,132.29,133.29
2022-08-13 00:00:00,Saturday,,,
2022-08-14 00:00:00,Sunday,,,
2022-08-15 00:00:00,Monday,133.97,131.97,132.97
2022-08-16 00:00:00,Thuesday,134.18,132.18,133.18
2022-08-17 00:00:00,Wednesday,135.31,133.31,134.31
2022-08-18 00:00:00,Thursday,135.91,133.91,134.91
2022-08-19 00:00:00,Friday,137.31,135.31,136.31
2022-08-20 00:00:00,Saturday,,,
2022-08-21 00:00:00,Sunday,,,
2022-08-22 00:00:00,Monday,138.17,136.17,137.17
2022-08-23 00:00:00,Thuesday,138.3,136.3,137.3
2022-08-24 00:00:00,Wednesday,137.93,135.93,136.93
2022-08-25 00:00:00,Thursday,137.98,135.98,136.98
2022-08-26 00:00:00,Friday,137.76,135.76,136.76
2022-08-27 00:00:00,Saturday,,,
2022-08-28 00:00:00,Sunday,,,
2022-08-29 00:00:00,Monday,139.34,137.34,138.34
2022-08-30 00:00:00,Thuesday,139.57,137.57,138.57
2022-08-31 00:00:00,Wednesday,139.63,137.63,138.63
2022-09-01 00:00:00,Thursday,140.53,138.53,139.53
2022-09-02 00:00:00,Friday,141.09,139.09,140.09
2022-09-03 00:00:00,Saturday,,,
2022-09-04 00:00:00,Sunday,,,
2022-09-05 00:00:00,Monday,141.35,139.35,140.35
2022-09-06 00:00:00,Thuesday,141.27,139.27,140.27
2022-09-07 00:00:00,Wednesday,144.12,142.12,143.12
2022-09-08 00:00:00,Thursday,145.48,143.48,144.48
2022-09-09 00:00:00,Friday,144.81,142.81,143.81
2022-09-10 00:00:00,Saturday,,,
2022-09-11 00:00:00,Sunday,,,
2022-09-12 00:00:00,Monday,143.82,141.82,142.82
2022-09-13 00:00:00,Thuesday,143.54,141.54,142.54
2022-09-14 00:00:00,Wednesday,145.49,143.49,144.49
2022-09-15 00:00:00,Thursday,144.34,142.34,143.34
2022-09-16 00:00:00,Friday,144.11,142.11,143.11
2022-09-17 00:00:00,Saturday,,,
2022-09-18 00:00:00,Sunday,,,
2022-09-19 00:00:00,Monday,,,
2022-09-20 00:00:00,Thuesday,144.28,142.28,143.28
2022-09-21 00:00:00,Wednesday,144.73,142.73,143.73
2022-09-22 00:00:00,Thursday,145.51,143.51,144.51
2022-09-23 00:00:00,Friday,,,
2022-09-24 00:00:00,Saturday,,,
2022-09-25 00:00:00,Sunday,,,
2022-09-26 00:00:00,Monday,145.02,143.02,144.02
2022-09-27 00:00:00,Thuesday,145.51,143.51,144.51
2022-09-28 00:00:00,Wednesday,145.73,143.73,144.73
2022-09-29 00:00:00,Thursday,145.34,143.34,144.34
2022-09-30 00:00:00,Friday,145.81,143.81,144.81
2022-10-01 00:00:00,Saturday,,,
2022-10-02 00:00:00,Sunday,,,
2022-10-03 00:00:00,Monday,145.89,143.89,144.89
2022-10-04 00:00:00,Thuesday,145.72,143.72,144.72
2022-10-05 00:00:00,Wednesday,144.95,142.95,143.95
2022-10-06 00:00:00,Thursday,145.66,143.66,144.66
2022-10-07 00:00:00,Friday,145.92,143.92,144.92
2022-10-08 00:00:00,Saturday,,,
2022-10-09 00:00:00,Sunday,,,
2022-10-10 00:00:00,Monday,,,
2022-10-11 00:00:00,Thuesday,146.77,144.77,145.77
2022-10-12 00:00:00,Wednesday,147.2,145.2,146.2
2022-10-13 00:00:00,Thursday,147.94,145.94,146.94
2022-10-14 00:00:00,Friday,148.42,146.42,147.42
2022-10-15 00:00:00,Saturday,,,
2022-10-16 00:00:00,Sunday,,,
2022-10-17 00:00:00,Monday,149.61,147.61,148.61
2022-10-18 00:00:00,Thuesday,149.88,147.88,148.88
2022-10-19 00:00:00,Wednesday,150.22,148.22,149.22
2022-10-20 00:00:00,Thursday,150.98,148.98,149.98
2022-10-21 00:00:00,Friday,151.26,149.26,150.26
2022-10-22 00:00:00,Saturday,,,
2022-10-23 00:00:00,Sunday,,,
2022-10-24 00:00:00,Monday,150.03,148.03,149.03
2022-10-25 00:00:00,Thuesday,150.04,148.04,149.04
