DATE,SETTLE_DOLLARS,USDJPY,JPY_MMBTU
2023-03-17 00:00:00,13.18,133.54,1760
2023-03-16 00:00:00,13.555,133.31,1807
2023-03-15 00:00:00,14.168,134.62,1907
2023-03-14 00:00:00,14.2,133.21,1892
2023-03-13 00:00:00,14.245,134.34,1914
2023-03-10 00:00:00,14.155,136.01,1925
2023-03-09 00:00:00,14.31,137.1,1962
2023-03-08 00:00:00,13.895,137.35,1908
2023-03-07 00:00:00,13.94,136.13,1898
2023-03-06 00:00:00,14.285,135.92,1942
2023-03-03 00:00:00,14.325,136.7,1958
2023-03-02 00:00:00,14.585,136.15,1986
2023-03-01 00:00:00,14.58,136.41,1989
2023-02-28 00:00:00,14.36,136.33,1958
2023-02-27 00:00:00,14.97,136.27,2040
2023-02-24 00:00:00,14.99,134.19,2012
2023-02-23 00:00:00,14.9,134.9,2010
2023-02-22 00:00:00,14.84,134.9,2002
2023-02-21 00:00:00,14.3,134.32,1921
2023-02-17 00:00:00,15.92,134.4,2140
2023-02-16 00:00:00,16.295,134.15,2186
2023-02-15 00:00:00,17.882,132.79,2375
2023-02-14 00:00:00,17.89,132.32,2367
2023-02-13 00:00:00,17.895,131.78,2358
2023-02-10 00:00:00,17.985,131.71,2369
2023-02-09 00:00:00,17.915,131.64,2358
2023-02-08 00:00:00,17.93,130.93,2348
2023-02-07 00:00:00,18.185,132.58,2411
2023-02-06 00:00:00,18.495,132.4,2449
2023-02-03 00:00:00,18.525,128.75,2385
2023-02-02 00:00:00,18.37,128.5,2361
2023-02-01 00:00:00,18.97,129.9,2464
2023-01-31 00:00:00,19.025,130.47,2482
2023-01-30 00:00:00,19.485,130.11,2535
2023-01-27 00:00:00,19.5,129.59,2527
2023-01-26 00:00:00,20.165,129.27,2607
2023-01-25 00:00:00,20.94,130.4,2731
2023-01-24 00:00:00,22.115,130.42,2884
2023-01-23 00:00:00,23.255,129.3,3007
2023-01-20 00:00:00,22.815,128.71,2937
2023-01-19 00:00:00,22.95,128.49,2949
2023-01-18 00:00:00,23.09,131.04,3026
2023-01-17 00:00:00,22.725,128.46,2919
2023-01-13 00:00:00,26.807,129.28,3466
2023-01-12 00:00:00,26.76,131.99,3532
2023-01-11 00:00:00,26.87,132.4,3558
2023-01-10 00:00:00,27.06,131.85,3568
2023-01-09 00:00:00,27.115,133.74,3626
2023-01-06 00:00:00,28.45,133.74,3805
2023-01-05 00:00:00,28.85,132.16,3813
2023-01-04 00:00:00,29.5,131.01,3865
2023-01-03 00:00:00,29.345,132.7,3894
2022-12-30 00:00:00,29.515,132.7,3917
2022-12-29 00:00:00,28.83,134.16,3868
2022-12-28 00:00:00,28.51,133.94,3819
2022-12-27 00:00:00,28.185,133.24,3755
2022-12-23 00:00:00,28.12,132.77,3733
2022-12-22 00:00:00,31.635,132.29,4185
2022-12-21 00:00:00,31.68,131.78,4175
2022-12-20 00:00:00,34.915,134.54,4697
2022-12-19 00:00:00,36.49,136.22,4971
2022-12-16 00:00:00,35.575,137.73,4900
2022-12-15 00:00:00,33.443,135.48,4531
2022-12-14 00:00:00,33.385,135.49,4523
2022-12-13 00:00:00,33.345,137.83,4596
2022-12-12 00:00:00,32.925,136.76,4503
2022-12-09 00:00:00,33.365,136.95,4569
2022-12-08 00:00:00,34.295,136.57,4684
2022-12-07 00:00:00,33.35,137.31,4579
2022-12-06 00:00:00,32.845,136.55,4485
2022-12-05 00:00:00,33.185,134.73,4471
2022-12-02 00:00:00,31.76,135.6,4307
2022-12-01 00:00:00,33.78,137.09,4631
2022-11-30 00:00:00,33.31,138.87,4626
2022-11-29 00:00:00,30.505,138.91,4237
2022-11-28 00:00:00,30.28,139.1,4212
2022-11-25 00:00:00,29.96,139.11,4168
2022-11-23 00:00:00,31.115,142.1,4421
2022-11-22 00:00:00,29.215,142.1,4151
2022-11-21 00:00:00,27.3,140.36,3832
2022-11-18 00:00:00,26.385,140.29,3702
2022-11-17 00:00:00,26.315,139.52,3671
2022-11-16 00:00:00,25.885,139.57,3613
2022-11-15 00:00:00,27.397,140.41,3847
2022-11-14 00:00:00,27.23,139.6,3801
2022-11-11 00:00:00,27.225,141.87,3862
2022-11-10 00:00:00,27.545,146.41,4033
2022-11-09 00:00:00,27.73,145.81,4043
2022-11-08 00:00:00,27.88,146.55,4086
2022-11-07 00:00:00,27.195,147.04,3999
2022-11-04 00:00:00,28.925,148.34,4291
2022-11-03 00:00:00,27.815,147.62,4106
2022-11-02 00:00:00,29.105,147.62,4296
2022-11-01 00:00:00,27.54,148.77,4097
2022-10-31 00:00:00,27.535,148.26,4082
2022-10-28 00:00:00,30.16,146.67,4424
2022-10-27 00:00:00,30.49,146.09,4454
2022-10-26 00:00:00,30.45,148.23,4514
2022-10-25 00:00:00,31.02,149.04,4623
2022-10-24 00:00:00,31.29,149.03,4663
2022-10-21 00:00:00,32.47,150.26,4879
2022-10-20 00:00:00,32.35,149.98,4852
2022-10-19 00:00:00,30.315,149.22,4524
2022-10-18 00:00:00,29.69,148.88,4420
2022-10-17 00:00:00,30.92,148.61,4595
2022-10-14 00:00:00,34.779,147.42,5127
2022-10-13 00:00:00,34.835,146.94,5119
2022-10-12 00:00:00,34.705,146.2,5074
2022-10-11 00:00:00,34.785,145.77,5071
2022-10-10 00:00:00,34.26,144.92,4965
2022-10-07 00:00:00,34.46,144.92,4994
2022-10-06 00:00:00,35.855,144.66,5187
2022-10-05 00:00:00,35.05,143.95,5045
2022-10-04 00:00:00,38.195,144.72,5528
2022-10-03 00:00:00,38.87,144.89,5632
2022-09-30 00:00:00,38.725,144.81,5608
2022-09-29 00:00:00,39.105,144.34,5644
2022-09-28 00:00:00,41.205,144.73,5964
2022-09-27 00:00:00,42.47,144.51,6137
2022-09-26 00:00:00,37.69,144.02,5428
2022-09-23 00:00:00,37.57,144.51,5429
2022-09-22 00:00:00,39.91,144.51,5767
2022-09-21 00:00:00,38.915,143.73,5593
2022-09-20 00:00:00,43.285,143.28,6202
2022-09-19 00:00:00,41.97,143.11,6006
2022-09-16 00:00:00,42.16,143.11,6034
2022-09-15 00:00:00,53.508,143.34,7670
2022-09-14 00:00:00,53.075,144.49,7669
2022-09-13 00:00:00,53.035,142.54,7560
2022-09-12 00:00:00,53.125,142.82,7587
2022-09-09 00:00:00,53.9,143.81,7751
2022-09-08 00:00:00,52.835,144.48,7634
2022-09-07 00:00:00,55.2,143.12,7900
2022-09-06 00:00:00,54.69,140.27,7671
2022-09-02 00:00:00,55.245,140.09,7739
2022-09-01 00:00:00,59.155,139.53,8254
2022-08-31 00:00:00,53.95,138.63,7479
2022-08-30 00:00:00,58.745,138.57,8140
2022-08-29 00:00:00,68.665,138.34,9499
2022-08-26 00:00:00,68.8,136.76,9409
2022-08-25 00:00:00,69.955,136.98,9582
2022-08-24 00:00:00,66.255,136.93,9072
2022-08-23 00:00:00,56.33,137.3,7734
2022-08-22 00:00:00,57.82,137.17,7931
2022-08-19 00:00:00,57.02,136.31,7772
2022-08-18 00:00:00,57.6,134.91,7771
2022-08-17 00:00:00,56.82,134.31,7631
2022-08-16 00:00:00,56.715,133.18,7553
2022-08-15 00:00:00,45.443,132.97,6043
2022-08-12 00:00:00,45.39,133.29,6050
2022-08-11 00:00:00,45.335,135.25,6132
2022-08-10 00:00:00,44.71,135.25,6047
2022-08-09 00:00:00,44.62,134.89,6019
2022-08-08 00:00:00,44.47,135.34,6019
2022-08-05 00:00:00,44.66,133.02,5941
